id_match,Team,Core,Mid,Hard,Hard support,Easy support
6031683231,Team Spirit,Yatoro,TORONTOTOKYO,Collapse,Miposhka,Mira
6031683231,Team Liquid,m`iCKe,SumaiL,Qojqva,iNSaNiA,Taiga
6034640592,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6034640592,Virtus.pro,Nightfall,gpk~,DM,Save-,illias
6034687123,Virtus.pro,DM,gpk~,Nightfall,Save-,illias
6034687123,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6033930417,Alliance,Nikobaby龙的传人,LIMMP,s4,Handsken,Fng
6033930417,PSG.LGD,萧瑟,NothingToSay,Faith_bian,XinQ,y`
6034022746,PSG.LGD,萧瑟,NothingToSay,Faith_bian,XinQ,y`
6034022746,Alliance,Nikobaby龙的传人,LIMMP,s4,Handsken,Fng
6033763787,T1,23,Karl,Ku,Whitemon,Xepher
6033763787,Team Aster,Monet,White丶Album_白学家,Xxs,LaNm,Borax
6033828511,Team Aster,Monet,White丶Album_白学家,Xxs,LaNm,Borax
6033828511,T1,23,Karl,Ku,Whitemon,Xepher
6034417665,Quincy Crew,YS,Quinn,LESLÃO,MSS,LoA
6034417665,NoPing Esports,hFn k3,DarkMago♥,Oscar,Pandaboo,Matthew
6034484929,NoPing Esports,hFn k3,DarkMago♥,Oscar,Pandaboo,Matthew
6034484929,Quincy Crew,YS,Quinn,LESLÃO,MSS,LoA
6034561846,NoPing Esports,hFn k3,DarkMago♥,Oscar,Pandaboo,Matthew
6034561846,Quincy Crew,YS,Quinn,LESLÃO,MSS,LoA
6037154028,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6037154028,PSG.LGD,萧瑟,NothingToSay,Faith_bian,XinQ,y`
6037257217,PSG.LGD,萧瑟,NothingToSay,Faith_bian,XinQ,y`
6037257217,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6037335318,PSG.LGD,萧瑟,NothingToSay,Faith_bian,XinQ,y`
6037335318,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6037420834,T1,23,Karl,Ku,Whitemon,Xepher
6037420834,Quincy Crew,YS,Quinn,LESLÃO,MSS,LoA
6037504112,Quincy Crew,LESLÃO,Quinn,YS,MSS,LoA
6037504112,T1,23,Karl,Ku,Whitemon,Xepher
6037565900,Quincy Crew,YS,Quinn,LESLÃO,MSS,LoA
6037565900,T1,23,Karl,Ku,Whitemon,Xepher
6038968530,PSG.LGD,萧瑟,NothingToSay,Faith_bian,XinQ,y`
6038968530,T1,23,Karl,Ku,Whitemon,Xepher
6039044857,T1,23,Karl,Ku,Whitemon,Xepher
6039044857,PSG.LGD,萧瑟,NothingToSay,Faith_bian,XinQ,y`
6039119756,PSG.LGD,萧瑟,NothingToSay,Faith_bian,XinQ,y`
6039119756,T1,23,Karl,Ku,Whitemon,Xepher
6035807546,Virtus.pro,Nightfall,gpk~,DM,Save-,illias
6035807546,Vici Gaming,poyoyo,,old eLeVeN,Dy,Pyw
6035901389,Virtus.pro,Nightfall,gpk~,DM,Save-,illias
6035901389,Vici Gaming,poyoyo,,old eLeVeN,Pyw,Dy
6035455715,Team Spirit,Yatoro,TORONTOTOKYO,Collapse,Miposhka,Mira
6035455715,Alliance,Nikobaby龙的传人,LIMMP,s4,Handsken,Fng
6035584181,Alliance,Nikobaby龙的传人,LIMMP,s4,Handsken,Fng
6035584181,Team Spirit,Yatoro,TORONTOTOKYO,Collapse,Miposhka,Mira
6035690975,Alliance,Nikobaby龙的传人,LIMMP,s4,Handsken,Fng
6035690975,Team Spirit,Yatoro,TORONTOTOKYO,Collapse,Miposhka,Mira
6035159079,Team Aster,Xxs,White丶Album_白学家,Monet,LaNm,Borax
6035159079,TNC Predator,Bok,Armel,Gabbi,Boomy,Tims
6035334054,TNC Predator,Gabbi,Armel,Bok,Boomy,Tims
6035334054,Team Aster,Monet,White丶Album_白学家,Xxs,LaNm,Borax
6036054100,Evil Geniuses,Arteezy,Abed,iceiceice,Fly,Cr1t-
6036054100,NoPing Esports,hFn k3,DarkMago♥,Oscar,Pandaboo,Matthew
6036109553,NoPing Esports,hFn k3,DarkMago♥,Oscar,Pandaboo,Matthew
6036109553,Evil Geniuses,Arteezy,Abed,iceiceice,Fly,Cr1t-
6036146532,NoPing Esports,hFn k3,DarkMago♥,Oscar,Pandaboo,Matthew
6036146532,Evil Geniuses,Arteezy,Abed,iceiceice,Fly,Cr1t-
6036563229,Team Spirit,Yatoro,TORONTOTOKYO,Collapse,Miposhka,Mira
6036563229,Vici Gaming,poyoyo,,old eLeVeN,Dy,Pyw
6036636251,Team Spirit,Yatoro,TORONTOTOKYO,Collapse,Miposhka,Mira
6036636251,Vici Gaming,poyoyo,,old eLeVeN,Dy,Pyw
6036747392,Evil Geniuses,Arteezy,Abed,iceiceice,Fly,Cr1t-
6036747392,TNC Predator,Gabbi,Armel,Bok,Boomy,Tims
6036850305,TNC Predator,Gabbi,Armel,Bok,Boomy,Tims
6036850305,Evil Geniuses,Arteezy,Abed,iceiceice,Fly,Cr1t-
6036978461,TNC Predator,Gabbi,Armel,Bok,Boomy,Tims
6036978461,Evil Geniuses,Arteezy,Abed,iceiceice,Fly,Cr1t-
6038301641,Quincy Crew,LESLÃO,Quinn,YS,MSS,LoA
6038301641,Vici Gaming,poyoyo,,old eLeVeN,Pyw,Dy
6038489826,Quincy Crew,LESLÃO,Quinn,YS,MSS,LoA
6038489826,Vici Gaming,poyoyo,,old eLeVeN,Dy,Pyw
6038118011,Evil Geniuses,iceiceice,Abed,Arteezy,Fly,Cr1t-
6038118011,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6038190628,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6038190628,Evil Geniuses,Arteezy,Abed,iceiceice,Fly,Cr1t-
6038642649,Evil Geniuses,iceiceice,Abed,Arteezy,Fly,Cr1t-
6038642649,Vici Gaming,poyoyo,,old eLeVeN,Dy,Pyw
6038753175,Vici Gaming,poyoyo,,old eLeVeN,Dy,Pyw
6038753175,Evil Geniuses,Arteezy,Abed,iceiceice,Fly,Cr1t-
