id,First team,Second team, Winner
6070040465,bumble bEE's,Simply TOOBASED,bumble bEE's 
6026468379,Team Liquid,Vici Gaming,Vici Gaming 
6079202085,Into The Breach,Brame,Into The Breach 
6067596085,Ωmega Esports,Galaxy Racer Esports,Galaxy Racer Esports 
6079953535,Team Magma,Sparking Arrow Gaming,Team Magma 
6070130213,bumble bEE's,Simply TOOBASED,bumble bEE's 
6056316785,Nemiga Gaming,EXTREMUM,EXTREMUM 
6048937284,OG,Quincy Crew,OG 
6057335567,Infamous Gaming,BINOMISTAS,BINOMISTAS 
6070245400,Black N Yellow,Arkosh Gaming,Black N Yellow 
6078923814,Spider Pigzs,Team Bald Reborn,Spider Pigzs 
6049050352,Quincy Crew,OG,OG 
6070298419,Arkosh Gaming,Black N Yellow,Black N Yellow 
6080001045,Royal Never Give Up,Aster.Aries,Royal Never Give Up 
6026574176,Team Liquid,Vici Gaming,Vici Gaming 
6067666906,Ωmega Esports,Galaxy Racer Esports,Galaxy Racer Esports 
6079148465,Spider Pigzs,Team Bald Reborn,Spider Pigzs 
6070459198,bumble bEE's,Black N Yellow,Black N Yellow 
6057384149,BINOMISTAS,Infamous Gaming,Infamous Gaming 
6056416709,EXTREMUM,Nemiga Gaming,Nemiga Gaming 
6079261923,Chicken Fighters,Hellbear Smashers,Chicken Fighters 
6026675519,Vici Gaming,TNC Predator,Vici Gaming 
6070512304,bumble bEE's,Black N Yellow,bumble bEE's 
6080048932,Royal Never Give Up,Aster.Aries,Royal Never Give Up 
6049557684,OG,Alliance,Alliance 
6079386505,Chicken Fighters,Hellbear Smashers,Chicken Fighters 
6026757158,TNC Predator,Vici Gaming,TNC Predator 
6070583719,bumble bEE's,Black N Yellow,bumble bEE's 
6057429141,Infamous Gaming,BINOMISTAS,BINOMISTAS 
6067657925,Cignal Ultra,Motivate.Trust Gaming,Motivate.Trust Gaming 
6080339905,Royal Never Give Up,Team Magma,Team Magma 
6079470359,Spider Pigzs,Into The Breach,Spider Pigzs 
6026013605,Team Liquid,beastcoast,beastcoast 
6071803988,4 Zoomers,bumble bEE's,bumble bEE's 
6056582479,Nemiga Gaming,EXTREMUM,Nemiga Gaming 
6080395234,Royal Never Give Up,Team Magma,Royal Never Give Up 
6079532974,Spider Pigzs,Into The Breach,Into The Breach 
6026106253,Team Liquid,beastcoast,Team Liquid 
6071914455,4 Zoomers,bumble bEE's,4 Zoomers 
6080459928,Royal Never Give Up,Team Magma,Team Magma 
6067705179,Cignal Ultra,Motivate.Trust Gaming,Motivate.Trust Gaming 
6058377114,EGOBOYS,NoPing Esports,NoPing Esports 
6071984808,4 Zoomers,bumble bEE's,4 Zoomers 
6026231485,Team Spirit,Evil Geniuses,Team Spirit 
6081496014,Elephant,Team Magma,Elephant 
6049652918,Alliance,OG,Alliance 
6056389893,Fantastic Five,AS Monaco Gambit,Fantastic Five 
6072077922,Undying,4 Zoomers,Undying 
6080362759,Chicken Fighters,Team Liquid,Chicken Fighters 
6081547301,Team Magma,Elephant,Elephant 
6072143944,4 Zoomers,Undying,Undying 
6067770560,Execration,Team SMG,Execration 
6080417552,Chicken Fighters,Team Liquid,Team Liquid 
6058494460,NoPing Esports,EGOBOYS,NoPing Esports 
6081649693,Elephant,EHOME,EHOME 
6050625911,T1,Alliance,T1 
6080517396,Spider Pigzs,Nigma,Nigma 
6081734536,EHOME,Elephant,Elephant 
6056513924,AS Monaco Gambit,Fantastic Five,AS Monaco Gambit 
6050732096,Alliance,T1,T1 
6080602503,Nigma,Spider Pigzs,Nigma 
6081805157,Elephant,EHOME,Elephant 
6026329775,Evil Geniuses,Team Spirit,Evil Geniuses 
6067842155,Execration,Team SMG,Team SMG 
6058609483,BINOMISTAS,Unknown Team,Unknown Team 
6080913054,Team Liquid,Nigma,Team Liquid 
6081888081,EHOME,Elephant,Elephant 
6056645678,AS Monaco Gambit,Fantastic Five,Fantastic Five 
6050937230,Virtus.pro,T1,T1 
6067910553,Execration,Team SMG,Execration 
6058696782,Unknown Team,BINOMISTAS,Unknown Team 
6026470153,Nigma,PSG.LGD,Nigma 
6081000417,Nigma,Team Liquid,Nigma 
6051032596,Virtus.pro,T1,Virtus.pro 
6056828463,Team Empire,Team Unique,Team Unique 
6058926863,NoPing Esports,Unknown Team,Unknown Team 
6026564858,Nigma,PSG.LGD,PSG.LGD 
6081062156,Nigma,Team Liquid,Nigma 
6067993716,Motivate.Trust Gaming,Galaxy Racer Esports,Galaxy Racer Esports 
6056961029,Team Unique,Team Empire,Team Empire 
6051126706,T1,Virtus.pro,Virtus.pro 
6026660506,Nigma,Team Spirit,Nigma 
6057031059,Team Empire,Team Unique,Team Empire 
6051198824,Virtus.pro,T1,T1 
6058993154,NoPing Esports,Unknown Team,NoPing Esports 
6069011823,OB.Neon,Execration,OB.Neon 
6069086044,OB.Neon,Execration,Execration 
6057110230,Nemiga Gaming,Fantastic Five,Nemiga Gaming 
6051279227,Virtus.pro,T1,T1 
6069140416,Execration,OB.Neon,Execration 
6081890096,OG,Nigma,Nigma 
6027661945,Team Spirit,Vici Gaming,Vici Gaming 
6057192433,Fantastic Five,Nemiga Gaming,Fantastic Five 
6059037237,NoPing Esports,Unknown Team,Unknown Team 
6027769248,Team Spirit,Vici Gaming,Team Spirit 
6057266417,Nemiga Gaming,Fantastic Five,Nemiga Gaming 
6081978485,OG,Nigma,OG 
6060553138,Infinity,Unknown Team,Unknown Team 
6027906800,Nigma,Team Liquid,Nigma 
6057771633,Team Empire,Natus Vincere,Natus Vincere 
6057841980,Team Empire,Natus Vincere,Team Empire 
6082074457,OG,Nigma,OG 
6070996580,Fnatic,TNC Predator,TNC Predator 
6057922460,Natus Vincere,Team Empire,Team Empire 
6060630738,Unknown Team,Infinity,Unknown Team 
6071087562,TNC Predator,Fnatic,TNC Predator 
6058001849,Nemiga Gaming,PuckChamp,Nemiga Gaming 
6060728395,SG esports,Unknown Team,Unknown Team 
6071205619,Fnatic,TNC Predator,Fnatic 
6028052212,Nigma,Team Liquid,Nigma 
6058101270,PuckChamp,Nemiga Gaming,PuckChamp 
6082238182,OG,Tundra Esports,Tundra Esports  
6071325564,TNC Predator,Fnatic,Fnatic 
6058219763,Nemiga Gaming,PuckChamp,PuckChamp 
6060800152,SG esports,Unknown Team,SG esports 
6071453424,Fnatic,TNC Predator,Fnatic 
6058714700,Team Empire,PuckChamp,Team Empire 
6028187182,Evil Geniuses,Vici Gaming,Evil Geniuses 
6082397383,Tundra Esports,OG,OG 
6028286082,Evil Geniuses,Vici Gaming,Vici Gaming 
6058791468,PuckChamp,Team Empire,PuckChamp 
6060853707,SG esports,Unknown Team,SG esports 
6028370071,PSG.LGD,Team Liquid,PSG.LGD 
6082512086,OG,Tundra Esports,Tundra Esports  
6028456376,PSG.LGD,Team Liquid,PSG.LGD 
6058877390,PuckChamp,Team Empire,Team Empire 
6059661754,Team Empire,HellRaisers,Team Empire 
6060911977,SG esports,Unknown Team,SG esports 
6059737749,HellRaisers,Team Empire,HellRaisers 
6059831460,Team Empire,HellRaisers,Team Empire 
6027655312,Evil Geniuses,beastcoast,Evil Geniuses 
6082594060,Tundra Esports,OG,OG 
6027756889,beastcoast,Evil Geniuses,beastcoast 
6059988105,Team Empire,Team Spirit,Team Spirit 
6082678236,OG,Tundra Esports,OG 
6027892182,beastcoast,TNC Predator,TNC Predator 
6060129110,Team Spirit,Team Empire,Team Empire 
6060281684,Team Empire,Team Spirit,Team Empire 
6027988597,TNC Predator,beastcoast,TNC Predator 
6060426279,Team Spirit,Team Empire,Team Spirit 
6028105868,Team Spirit,PSG.LGD,PSG.LGD 
6060523770,Team Empire,Team Spirit,Team Spirit 
6028212151,Team Spirit,PSG.LGD,Team Spirit 
6028307505,Nigma,TNC Predator,TNC Predator 
6028415672,TNC Predator,Nigma,TNC Predator 
6029399411,TNC Predator,PSG.LGD,PSG.LGD 
6029513317,PSG.LGD,TNC Predator,PSG.LGD 
6029647621,Evil Geniuses,PSG.LGD,PSG.LGD 
6029767740,PSG.LGD,Evil Geniuses,PSG.LGD 
6029877246,Team Liquid,TNC Predator,TNC Predator 
6029980302,TNC Predator,Team Liquid,Team Liquid 
